created_at,hari,tanggal,waktu,bulan,jam,text,lang,retweet_count,favorite_count,label,translated_text
2011-08-17 04:52:23+00:00,Wednesday,2011-08-17 00:00:00+00:00,04:52:23,August,4,RT @@WeTalkDemi: I'm not saying I feel like I have depression. I'm diagnosed with it.,en,0,0,positive,RT @@WeTalkDemi: I'm not saying I feel like I have depression. I'm diagnosed with it.
2011-08-17 13:22:15+00:00,Wednesday,2011-08-17 00:00:00+00:00,13:22:15,August,13,@Gailporter good too see you smiling x I have been diagnosed with depression and struggling light at the end of tunnel :@),en,0,0,positive,@Gailporter good too see you smiling x I have been diagnosed with depression and struggling light at the end of tunnel :@)
2011-08-18 06:17:23+00:00,Thursday,2011-08-18 00:00:00+00:00,06:17:23,August,6,#confession i have been diagnosed with depression. And im feelin it,en,0,0,positive,#confession i have been diagnosed with depression. And im feelin it
2011-08-20 03:16:57+00:00,Saturday,2011-08-20 00:00:00+00:00,03:16:57,August,3,"Q: why are you so depressed get over it and ...A: Because , I'm diagnosed with depression &...: http://t.co/QxqsGJe",en,0,0,positive,"Q: why are you so depressed get over it and ...A: Because , I'm diagnosed with depression &...: http://t.co/QxqsGJe"
2011-08-20 03:53:17+00:00,Saturday,2011-08-20 00:00:00+00:00,03:53:17,August,3,I think I'm diagnosed with depression. D:,en,0,0,positive,I think I'm diagnosed with depression. D:
2010-03-14 21:21:15+00:00,Sunday,2010-03-14 00:00:00+00:00,21:21:15,March,21,#truthaboutme I'm diagnosed with depression. && ihave pills to take for it. But idon't take that ish...,en,0,0,positive,#truthaboutme I'm diagnosed with depression. && ihave pills to take for it. But idon't take that ish...
2011-08-23 18:50:54+00:00,Tuesday,2011-08-23 00:00:00+00:00,18:50:54,August,18,I wasn't even there and I'm feeling it hardcore. RT @patrickpip: post camp depression disorder. it's real and i'm diagnosed. #summercamp,en,0,0,positive,I wasn't even there and I'm feeling it hardcore. RT @patrickpip: post camp depression disorder. it's real and i'm diagnosed. #summercamp
2010-03-18 23:16:27+00:00,Thursday,2010-03-18 00:00:00+00:00,23:16:27,March,23,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT,en,0,0,positive,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT
2010-03-18 23:16:32+00:00,Thursday,2010-03-18 00:00:00+00:00,23:16:32,March,23,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT,en,0,0,positive,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT
2010-03-18 23:16:35+00:00,Thursday,2010-03-18 00:00:00+00:00,23:16:35,March,23,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT,en,0,0,positive,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT
2010-03-18 23:16:38+00:00,Thursday,2010-03-18 00:00:00+00:00,23:16:38,March,23,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT,en,0,0,positive,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/brRquT
2011-08-26 14:58:35+00:00,Friday,2011-08-26 00:00:00+00:00,14:58:35,August,14,"Nancy Dell: Moods, marriage & weight: I have been diagnosed with clinical depression. Are there any foods that c... http://t.co/tDFSb1x",en,0,0,positive,"Nancy Dell: Moods, marriage & weight: I have been diagnosed with clinical depression. Are there any foods that c... http://t.co/tDFSb1x"
2011-08-26 15:14:25+00:00,Friday,2011-08-26 00:00:00+00:00,15:14:25,August,15,"Nancy Dell: Moods, marriage & weight: I have been diagnosed with clinical depression. Are there any foods that c... http://t.co/jD2Qz4N",en,0,0,positive,"Nancy Dell: Moods, marriage & weight: I have been diagnosed with clinical depression. Are there any foods that c... http://t.co/jD2Qz4N"
2011-08-28 21:42:09+00:00,Sunday,2011-08-28 00:00:00+00:00,21:42:09,August,21,"I am 16 years old.
For maybe two years now I have been diagnosed
with depression and PTSD following a bullying ... http://t.co/RJbaOwA",en,0,0,positive,"I am 16 years old.
For maybe two years now I have been diagnosed
with depression and PTSD following a bullying ... http://t.co/RJbaOwA"
2011-09-01 20:36:44+00:00,Thursday,2011-09-01 00:00:00+00:00,20:36:44,September,20,i have been diagnosed with 'post concert depression'. #Lostprophets,en,0,0,positive,i have been diagnosed with 'post concert depression'. #Lostprophets
2011-09-04 01:52:35+00:00,Sunday,2011-09-04 00:00:00+00:00,01:52:35,September,1,"@Proteautype I have been diagnosed with ""depression"" as have many people in the world.  Whos to say the skill players arent depressed?",en,0,0,positive,"@Proteautype I have been diagnosed with ""depression"" as have many people in the world.  Whos to say the skill players arent depressed?"
2011-09-06 16:50:37+00:00,Tuesday,2011-09-06 00:00:00+00:00,16:50:37,September,16,"Many thanks for all the messages of support tweeps- i have been diagnosed with depression, but all is looking good 4 full recovery :-)",en,0,0,positive,"Many thanks for all the messages of support tweeps- i have been diagnosed with depression, but all is looking good 4 full recovery :-)"
2011-09-09 11:10:30+00:00,Friday,2011-09-09 00:00:00+00:00,11:10:30,September,11,"I'm diagnosed with depression, panic anxiety, crazy compulsions and social phobia but apparantly I should ""suck it up"" and work nonetheless",en,0,0,positive,"I'm diagnosed with depression, panic anxiety, crazy compulsions and social phobia but apparantly I should ""suck it up"" and work nonetheless"
2011-09-11 08:17:48+00:00,Sunday,2011-09-11 00:00:00+00:00,08:17:48,September,8,Yes I'm diagnosed with depression. But you make me smile.,en,0,0,positive,Yes I'm diagnosed with depression. But you make me smile.
2011-09-12 10:18:15+00:00,Monday,2011-09-12 00:00:00+00:00,10:18:15,September,10,"@JoTaylor_PW @LoganM_BTR @CutieJen_PW @CarlosG_BTR @KKnight_BTR Hey guys, the doctors ran some tests...I'm diagnosed with depression and (c)",en,0,1,positive,"@JoTaylor_PW @LoganM_BTR @CutieJen_PW @CarlosG_BTR @KKnight_BTR Hey guys, the doctors ran some tests...I'm diagnosed with depression and (c)"
2011-09-12 10:58:48+00:00,Monday,2011-09-12 00:00:00+00:00,10:58:48,September,10,Hello Twitter! I have not been on in a while. Was kind of ashamed of admitting that I have been diagnosed with post natal depression.,en,0,0,positive,Hello Twitter! I have not been on in a while. Was kind of ashamed of admitting that I have been diagnosed with post natal depression.
2011-09-12 22:27:45+00:00,Monday,2011-09-12 00:00:00+00:00,22:27:45,September,22,@WhoaiLoveBTR (c) so now I'm diagnosed with major depression...,en,0,0,positive,@WhoaiLoveBTR (c) so now I'm diagnosed with major depression...
2011-09-13 00:51:38+00:00,Tuesday,2011-09-13 00:00:00+00:00,00:51:38,September,0,@KatieKnight_PW well I'm diagnosed with major depression....http://t.co/RKGiC6M,en,0,0,positive,@KatieKnight_PW well I'm diagnosed with major depression....http://t.co/RKGiC6M
2011-09-13 01:34:46+00:00,Tuesday,2011-09-13 00:00:00+00:00,01:34:46,September,1,"@CutieJen_PW *smiles* it is! Still can't believe I'm diagnosed with major depression though...I only had 1 outburst today, so I'm doing good",en,0,0,positive,"@CutieJen_PW *smiles* it is! Still can't believe I'm diagnosed with major depression though...I only had 1 outburst today, so I'm doing good"
2011-09-13 01:46:00+00:00,Tuesday,2011-09-13 00:00:00+00:00,01:46:00,September,1,@AlwysWatching_A Shut up....didn't u know? I'm diagnosed with major depression! :|,en,0,0,positive,@AlwysWatching_A Shut up....didn't u know? I'm diagnosed with major depression! :|
2011-09-13 10:36:39+00:00,Tuesday,2011-09-13 00:00:00+00:00,10:36:39,September,10,"@GRocque_Amazing *rolls eyes* Wow. Just......wow. Anyways, I'm in the rehab center that Kendall was in, I'm diagnosed with major depression",en,0,0,positive,"@GRocque_Amazing *rolls eyes* Wow. Just......wow. Anyways, I'm in the rehab center that Kendall was in, I'm diagnosed with major depression"
2011-09-21 02:33:03+00:00,Wednesday,2011-09-21 00:00:00+00:00,02:33:03,September,2,@TrinaVega_HA I understand....I'm diagnosed with major depression.....,en,0,0,positive,@TrinaVega_HA I understand....I'm diagnosed with major depression.....
2011-09-21 11:22:39+00:00,Wednesday,2011-09-21 00:00:00+00:00,11:22:39,September,11,@daphaknee I'm diagnosed with depression. I know that's not really insanity but hey whatever...,en,0,0,positive,@daphaknee I'm diagnosed with depression. I know that's not really insanity but hey whatever...
2011-09-24 03:57:53+00:00,Saturday,2011-09-24 00:00:00+00:00,03:57:53,September,3,"If @KKnight_BTR can come out of his shell, so can I....Rushers, I'm diagnosed with major depression.",en,0,0,positive,"If @KKnight_BTR can come out of his shell, so can I....Rushers, I'm diagnosed with major depression."
2011-09-26 15:17:15+00:00,Monday,2011-09-26 00:00:00+00:00,15:17:15,September,15,Everytime I look at my fantasy football team it makes me mad. I'm going to have to stop soon before I'm diagnosed with depression.,en,0,0,positive,Everytime I look at my fantasy football team it makes me mad. I'm going to have to stop soon before I'm diagnosed with depression.
2011-09-27 01:54:42+00:00,Tuesday,2011-09-27 00:00:00+00:00,01:54:42,September,1,@xLoganForever it's not MY fault I'm diagnosed with major depression and she's pushing me over the edge!,en,0,0,positive,@xLoganForever it's not MY fault I'm diagnosed with major depression and she's pushing me over the edge!
2011-09-28 00:40:06+00:00,Wednesday,2011-09-28 00:00:00+00:00,00:40:06,September,0,"@SexyJDiamond trust me, ik....I'm diagnosed with major depression... I actually tried ending my life but Logan stopped me, I realized (c)",en,0,0,positive,"@SexyJDiamond trust me, ik....I'm diagnosed with major depression... I actually tried ending my life but Logan stopped me, I realized (c)"
2010-12-06 22:28:09+00:00,Monday,2010-12-06 00:00:00+00:00,22:28:09,December,22,Not like I'm diagnosed with depression or anything - let me just make that clear lmfao,en,0,0,positive,Not like I'm diagnosed with depression or anything - let me just make that clear lmfao
2011-09-28 19:11:19+00:00,Wednesday,2011-09-28 00:00:00+00:00,19:11:19,September,19,"@XxRusherWorldxX I'm doing fine right now, but I'm diagnosed with major depression, so it can be tough.. Thanks for caring! ;) xoxo, JD",en,0,0,positive,"@XxRusherWorldxX I'm doing fine right now, but I'm diagnosed with major depression, so it can be tough.. Thanks for caring! ;) xoxo, JD"
2010-04-10 19:32:39+00:00,Saturday,2010-04-10 00:00:00+00:00,19:32:39,April,19,"Ok, so i have been diagnosed and treated for depression, anxiety, bipolar, and self… http://goo.gl/fb/xRZXX",en,0,0,positive,"Ok, so i have been diagnosed and treated for depression, anxiety, bipolar, and self… http://goo.gl/fb/xRZXX"
2011-09-30 02:09:16+00:00,Friday,2011-09-30 00:00:00+00:00,02:09:16,September,2,I have been diagnosed w/ teen depression :/ BUT I won't let that SLOW/STOP me! #fighting,en,0,0,positive,I have been diagnosed w/ teen depression :/ BUT I won't let that SLOW/STOP me! #fighting
2011-09-30 19:17:28+00:00,Friday,2011-09-30 00:00:00+00:00,19:17:28,September,19,Think I'm diagnosed with depression,en,0,0,positive,Think I'm diagnosed with depression
2011-10-01 07:01:52+00:00,Saturday,2011-10-01 00:00:00+00:00,07:01:52,October,7,I think I'm bipolar ? Help? - Question & Answer - Question 79 ...: My dad has bipolar and I have been diagnosed ... http://t.co/zQL1cZOm,en,0,0,positive,I think I'm bipolar ? Help? - Question & Answer - Question 79 ...: My dad has bipolar and I have been diagnosed ... http://t.co/zQL1cZOm
2010-04-12 18:21:48+00:00,Monday,2010-04-12 00:00:00+00:00,18:21:48,April,18,"New Comment:  Dave, I have been diagnosed with Bipolar II disorder with severe depression. Much of your advice soun... http://bit.ly/clxHX1",en,0,0,positive,"New Comment:  Dave, I have been diagnosed with Bipolar II disorder with severe depression. Much of your advice soun... http://bit.ly/clxHX1"
2011-10-06 12:51:09+00:00,Thursday,2011-10-06 00:00:00+00:00,12:51:09,October,12,@CTVCanadaAM  I have been diagnosed with severe depression and my employer took my medical unless i went to rehab.  what can i do,en,0,0,positive,@CTVCanadaAM  I have been diagnosed with severe depression and my employer took my medical unless i went to rehab.  what can i do
2011-10-08 04:21:34+00:00,Saturday,2011-10-08 00:00:00+00:00,04:21:34,October,4,@barkerballinger Their problem for not being able to deal w reality. Remember? I'm diagnosed with depression and am un-medicated.,en,0,0,positive,@barkerballinger Their problem for not being able to deal w reality. Remember? I'm diagnosed with depression and am un-medicated.
2011-10-10 20:07:33+00:00,Monday,2011-10-10 00:00:00+00:00,20:07:33,October,20,It's #worldmentalhealthday so ill tell you all a little about myself. I have been diagnosed with depression and anxiety. I am suppose to be,en,0,0,positive,It's #worldmentalhealthday so ill tell you all a little about myself. I have been diagnosed with depression and anxiety. I am suppose to be
2011-10-10 20:49:02+00:00,Monday,2011-10-10 00:00:00+00:00,20:49:02,October,20,I have been diagnosed with depression for 6 years and probably suffered with it for much longer.#worldmentalhealthday,en,0,0,positive,I have been diagnosed with depression for 6 years and probably suffered with it for much longer.#worldmentalhealthday
2010-04-18 20:02:06+00:00,Sunday,2010-04-18 00:00:00+00:00,20:02:06,April,20,"@chriscsefalvay I'm diagnosed with depression but not on anything at the mo. I'm not against medication, but the threshold seems very low.",en,0,0,positive,"@chriscsefalvay I'm diagnosed with depression but not on anything at the mo. I'm not against medication, but the threshold seems very low."
2011-10-14 03:34:35+00:00,Friday,2011-10-14 00:00:00+00:00,03:34:35,October,3,@greatnfluence i'm diagnosed with atypical depression & my doc wants me to go see a therapist. i said hellllll no,en,0,0,positive,@greatnfluence i'm diagnosed with atypical depression & my doc wants me to go see a therapist. i said hellllll no
2011-10-18 04:08:42+00:00,Tuesday,2011-10-18 00:00:00+00:00,04:08:42,October,4,"@SamAmicoFSO what seven would that be? I have been diagnosed with depression, but it doesnt really bug me... honestly",en,0,0,positive,"@SamAmicoFSO what seven would that be? I have been diagnosed with depression, but it doesnt really bug me... honestly"
2011-10-20 14:31:45+00:00,Thursday,2011-10-20 00:00:00+00:00,14:31:45,October,14,"RT @realniggatlkin: @unamorenabellaz I been hiding,I have been diagnosed with chronic depression since u got a man..:-p~LMAO take prozac ;)",en,0,0,positive,"RT @realniggatlkin: @unamorenabellaz I been hiding,I have been diagnosed with chronic depression since u got a man..:-p~LMAO take prozac ;)"
2011-10-23 16:13:53+00:00,Sunday,2011-10-23 00:00:00+00:00,16:13:53,October,16,Well I have been diagnosed with depression...yay me :rolls eyes:,en,0,0,positive,Well I have been diagnosed with depression...yay me :rolls eyes:
2011-10-24 16:19:07+00:00,Monday,2011-10-24 00:00:00+00:00,16:19:07,October,16,"@MrsTeepot I'm diagnosed with depression (without qualification), but started to think might be bipolar II... not sure how to mention to doc",en,0,0,positive,"@MrsTeepot I'm diagnosed with depression (without qualification), but started to think might be bipolar II... not sure how to mention to doc"
2010-04-26 14:37:20+00:00,Monday,2010-04-26 00:00:00+00:00,14:37:20,April,14,Please pray for me......I have been diagnosed with depression.,en,0,0,positive,Please pray for me......I have been diagnosed with depression.
2011-10-30 08:19:29+00:00,Sunday,2011-10-30 00:00:00+00:00,08:19:29,October,8,Can Someone Cheer Me Up? - I'm diagnosed with depression. I will sometimes out of no where... http://t.co/A6CcB8xb,en,0,0,positive,Can Someone Cheer Me Up? - I'm diagnosed with depression. I will sometimes out of no where... http://t.co/A6CcB8xb
2011-11-02 05:07:50+00:00,Wednesday,2011-11-02 00:00:00+00:00,05:07:50,November,5,As most of you don't know. I have been diagnosed with depression. So that's why I'm sad.,en,0,0,positive,As most of you don't know. I have been diagnosed with depression. So that's why I'm sad.
2010-05-03 08:14:22+00:00,Monday,2010-05-03 00:00:00+00:00,08:14:22,May,8,I have been diagnosed with severe recurring depression.? http://bit.ly/c8DiET,en,0,0,positive,I have been diagnosed with severe recurring depression.? http://bit.ly/c8DiET
2011-11-07 03:07:46+00:00,Monday,2011-11-07 00:00:00+00:00,03:07:46,November,3,#somefactsaboutme I have been diagnosed with clinical depression.  (Did I really just admit that?),en,0,0,positive,#somefactsaboutme I have been diagnosed with clinical depression.  (Did I really just admit that?)
2011-11-10 02:19:54+00:00,Thursday,2011-11-10 00:00:00+00:00,02:19:54,November,2,@Gabby_Sizzle don't feel bad. I'm diagnosed with demoniac depression(bi polar),en,0,0,positive,@Gabby_Sizzle don't feel bad. I'm diagnosed with demoniac depression(bi polar)
2010-05-06 01:18:33+00:00,Thursday,2010-05-06 00:00:00+00:00,01:18:33,May,1,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/bHVUZE,en,0,0,positive,I have been diagnosed with Generalized Anxiety Disorder and Clinical Depression. ....? http://bit.ly/bHVUZE
2011-11-11 16:39:30+00:00,Friday,2011-11-11 00:00:00+00:00,16:39:30,November,16,#RLfact: I'm diagnosed with depression.,en,0,0,positive,#RLfact: I'm diagnosed with depression.
2011-11-12 18:50:26+00:00,Saturday,2011-11-12 00:00:00+00:00,18:50:26,November,18,Even though no tears are coming out... I seriously think I'm diagnosed with mild depression.,en,0,0,positive,Even though no tears are coming out... I seriously think I'm diagnosed with mild depression.
2010-05-08 02:05:09+00:00,Saturday,2010-05-08 00:00:00+00:00,02:05:09,May,2,@micromanic I have been diagnosed with depression and I don't take anything.  I feed on beautiful things.,en,0,0,positive,@micromanic I have been diagnosed with depression and I don't take anything.  I feed on beautiful things.
2011-11-14 22:14:08+00:00,Monday,2011-11-14 00:00:00+00:00,22:14:08,November,22,I feel like I'm diagnosed with depression everytime I watch the news. Hate it.,en,1,0,positive,I feel like I'm diagnosed with depression everytime I watch the news. Hate it.
2011-11-15 04:42:18+00:00,Tuesday,2011-11-15 00:00:00+00:00,04:42:18,November,4,I have been diagnosed with depression and high levels of anger #wtf that don't make no sense,en,0,0,positive,I have been diagnosed with depression and high levels of anger #wtf that don't make no sense
2011-11-16 02:06:57+00:00,Wednesday,2011-11-16 00:00:00+00:00,02:06:57,November,2,@TheMileyCyrusRP what my depression? At least two months. I'm diagnosed with major depression,en,0,0,positive,@TheMileyCyrusRP what my depression? At least two months. I'm diagnosed with major depression
2011-11-18 23:34:49+00:00,Friday,2011-11-18 00:00:00+00:00,23:34:49,November,23,i have been diagnosed with severe depression and anxiety,en,0,0,positive,i have been diagnosed with severe depression and anxiety
2010-05-12 15:29:47+00:00,Wednesday,2010-05-12 00:00:00+00:00,15:29:47,May,15,"Just returned from the doctors. It will come as no surprise to some of you that I have been diagnosed with Manic Depression ""rapid cycling""",en,0,0,positive,"Just returned from the doctors. It will come as no surprise to some of you that I have been diagnosed with Manic Depression ""rapid cycling"""
2010-05-14 06:01:27+00:00,Friday,2010-05-14 00:00:00+00:00,06:01:27,May,6,personality disorder test bipolar | Anxiety Depression Symptom …: I have been diagnosed with ADHD and bipolar diso... http://bit.ly/aoYt8O,en,0,0,positive,personality disorder test bipolar | Anxiety Depression Symptom …: I have been diagnosed with ADHD and bipolar diso... http://bit.ly/aoYt8O
2011-11-24 23:34:57+00:00,Thursday,2011-11-24 00:00:00+00:00,23:34:57,November,23,@ARecklessEgo No Lol I'm NOT Depressed... I'm Diagnosed With Depression I Have The Disease Like I Have Anxiety Attacks And Shxt From It,en,0,0,positive,@ARecklessEgo No Lol I'm NOT Depressed... I'm Diagnosed With Depression I Have The Disease Like I Have Anxiety Attacks And Shxt From It
2011-11-26 02:26:53+00:00,Saturday,2011-11-26 00:00:00+00:00,02:26:53,November,2,Open Question: How to get rid of depression naturally?: I have been diagnosed with depression and it is getting ... http://t.co/MSKxnsYZ,en,0,0,positive,Open Question: How to get rid of depression naturally?: I have been diagnosed with depression and it is getting ... http://t.co/MSKxnsYZ
2011-11-26 02:26:54+00:00,Saturday,2011-11-26 00:00:00+00:00,02:26:54,November,2,Open Question: How to get rid of depression naturally?: I have been diagnosed with depression and it is getting ... http://t.co/3gOkDLnH,en,0,0,positive,Open Question: How to get rid of depression naturally?: I have been diagnosed with depression and it is getting ... http://t.co/3gOkDLnH
2011-11-26 02:27:14+00:00,Saturday,2011-11-26 00:00:00+00:00,02:27:14,November,2,Open Question: How to get rid of depression naturally?: I have been diagnosed with depression and it is getting... *http://t.co/SG5ocheR,en,0,0,positive,Open Question: How to get rid of depression naturally?: I have been diagnosed with depression and it is getting... *http://t.co/SG5ocheR
2009-03-27 23:01:34+00:00,Friday,2009-03-27 00:00:00+00:00,23:01:34,March,23,@drdrew   Your awesome #1. (Great show & insight). I'm diagnosed bi-polar and on depakote and cymbalta (depression).,en,0,0,positive,@drdrew   Your awesome #1. (Great show & insight). I'm diagnosed bi-polar and on depakote and cymbalta (depression).
2011-11-27 03:05:03+00:00,Sunday,2011-11-27 00:00:00+00:00,03:05:03,November,3,""" I have been diagnosed with clynical depression and none of the anti depressents helped ,my brother was diagn http://t.co/YHJx41KC",en,0,0,positive,""" I have been diagnosed with clynical depression and none of the anti depressents helped ,my brother was diagn http://t.co/YHJx41KC"
2011-11-28 22:03:18+00:00,Monday,2011-11-28 00:00:00+00:00,22:03:18,November,22,"Hi, I'm Lillian. I have cancer and I'm diagnosed with depression. I starve myself. I'm a whore, I cut and I'm a fuck up. Nice to meet you (:",en,0,0,positive,"Hi, I'm Lillian. I have cancer and I'm diagnosed with depression. I starve myself. I'm a whore, I cut and I'm a fuck up. Nice to meet you (:"
2010-05-17 20:09:55+00:00,Monday,2010-05-17 00:00:00+00:00,20:09:55,May,20,@DavidDStewart I have been diagnosed with situational depression due to a recent death and other pressures,en,0,0,positive,@DavidDStewart I have been diagnosed with situational depression due to a recent death and other pressures
2011-12-01 11:41:56+00:00,Thursday,2011-12-01 00:00:00+00:00,11:41:56,December,11,@StanCollymore I have suffered with depression 30yrs I have been diagnosed and now I hope to get the help. My problem has been invalidation,en,0,0,positive,@StanCollymore I have suffered with depression 30yrs I have been diagnosed and now I hope to get the help. My problem has been invalidation
2011-12-01 16:34:53+00:00,Thursday,2011-12-01 00:00:00+00:00,16:34:53,December,16,@KyleighHill i have been diagnosed with clinical depression.,en,0,0,positive,@KyleighHill i have been diagnosed with clinical depression.
2011-12-02 02:40:10+00:00,Friday,2011-12-02 00:00:00+00:00,02:40:10,December,2,"@frankfine 
I have severe depression and verious other medical problems. I have been diagnosed with Dementia.  Any advice?",en,1,0,positive,"@frankfine 
I have severe depression and verious other medical problems. I have been diagnosed with Dementia.  Any advice?"
2011-12-03 20:45:17+00:00,Saturday,2011-12-03 00:00:00+00:00,20:45:17,December,20,And people wonder why i'm diagnosed with clinical depression -_-,en,0,0,positive,And people wonder why i'm diagnosed with clinical depression -_-
2011-12-04 03:30:33+00:00,Sunday,2011-12-04 00:00:00+00:00,03:30:33,December,3,I think i'm diagnosed with depression.,en,0,0,positive,I think i'm diagnosed with depression.
2011-12-04 20:40:30+00:00,Sunday,2011-12-04 00:00:00+00:00,20:40:30,December,20,"#20FactsAboutMe 16. I'm diagnosed with depression, bipolar disorder, anxiety, and borderline personality disorder.",en,0,0,positive,"#20FactsAboutMe 16. I'm diagnosed with depression, bipolar disorder, anxiety, and borderline personality disorder."
2011-12-04 22:00:12+00:00,Sunday,2011-12-04 00:00:00+00:00,22:00:12,December,22,4.) I'm diagnosed with depression and anxiety.  #20FactsAboutMe,en,0,0,positive,4.) I'm diagnosed with depression and anxiety.  #20FactsAboutMe
2011-12-05 07:31:12+00:00,Monday,2011-12-05 00:00:00+00:00,07:31:12,December,7,"Ways to handle depression?: I have been diagnosed with depression by several doctors and psychologists. 
I am al... http://t.co/ECC7Uj7q",en,0,0,positive,"Ways to handle depression?: I have been diagnosed with depression by several doctors and psychologists. 
I am al... http://t.co/ECC7Uj7q"
2011-12-05 14:17:13+00:00,Monday,2011-12-05 00:00:00+00:00,14:17:13,December,14,"Lisa's solution to the fact I have been diagnosed with depression: ""just man up""",en,0,0,positive,"Lisa's solution to the fact I have been diagnosed with depression: ""just man up"""
2011-12-05 23:40:24+00:00,Monday,2011-12-05 00:00:00+00:00,23:40:24,December,23,"http://t.co/nWD6tlPy Constant depression: I am not sure what to do but I'm diagnosed with borderlines, as result ... http://t.co/LLlZvgg9",en,0,0,positive,"http://t.co/nWD6tlPy Constant depression: I am not sure what to do but I'm diagnosed with borderlines, as result ... http://t.co/LLlZvgg9"
2011-12-07 20:29:58+00:00,Wednesday,2011-12-07 00:00:00+00:00,20:29:58,December,20,Personality disorder- glad I have been diagnosed. I knew it weren't depression. Wooo of the pills I come,en,0,0,positive,Personality disorder- glad I have been diagnosed. I knew it weren't depression. Wooo of the pills I come
2011-12-07 22:13:17+00:00,Wednesday,2011-12-07 00:00:00+00:00,22:13:17,December,22,I have been diagnosed with depression. #ohjoy &lt;--- oh the irony. #lmao,en,0,0,positive,I have been diagnosed with depression. #ohjoy &lt;--- oh the irony. #lmao
