text,lang,retweet_count,favorite_count,label,translated_text
@gailporter good too see you smiling x i have been diagnosed with depression and struggling light at the end of tunnel :@),en,0,0,1,@gailporter good too see you smiling x i have been diagnosed with depression and struggling light at the end of tunnel :@)
#confession i have been diagnosed with depression. and im feelin it,en,0,0,1,#confession i have been diagnosed with depression. and im feelin it
"q: why are you so depressed get over it and ...a: because , i'm diagnosed with depression &...: http://t.co/qxqsgje",en,0,0,1,"q: why are you so depressed get over it and ...a: because , i'm diagnosed with depression &...: http://t.co/qxqsgje"
i think i'm diagnosed with depression. d:,en,0,0,1,i think i'm diagnosed with depression. d:
#truthaboutme i'm diagnosed with depression. && ihave pills to take for it. but idon't take that ish...,en,0,0,1,#truthaboutme i'm diagnosed with depression. && ihave pills to take for it. but idon't take that ish...
i wasn't even there and i'm feeling it hardcore. rt @patrickpip: post camp depression disorder. it's real and i'm diagnosed. #summercamp,en,0,0,1,i wasn't even there and i'm feeling it hardcore. rt @patrickpip: post camp depression disorder. it's real and i'm diagnosed. #summercamp
i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/brrqut,en,0,0,1,i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/brrqut
i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/brrqut,en,0,0,1,i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/brrqut
i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/brrqut,en,0,0,1,i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/brrqut
i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/brrqut,en,0,0,1,i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/brrqut
"nancy dell: moods, marriage & weight: i have been diagnosed with clinical depression. are there any foods that c... http://t.co/tdfsb1x",en,0,0,1,"nancy dell: moods, marriage & weight: i have been diagnosed with clinical depression. are there any foods that c... http://t.co/tdfsb1x"
"nancy dell: moods, marriage & weight: i have been diagnosed with clinical depression. are there any foods that c... http://t.co/jd2qz4n",en,0,0,1,"nancy dell: moods, marriage & weight: i have been diagnosed with clinical depression. are there any foods that c... http://t.co/jd2qz4n"
"i am 16 years old.
for maybe two years now i have been diagnosed
with depression and ptsd following a bullying ... http://t.co/rjbaowa",en,0,0,1,"i am 16 years old.
for maybe two years now i have been diagnosed
with depression and ptsd following a bullying ... http://t.co/rjbaowa"
i have been diagnosed with 'post concert depression'. #lostprophets,en,0,0,1,i have been diagnosed with 'post concert depression'. #lostprophets
"@proteautype i have been diagnosed with ""depression"" as have many people in the world.  whos to say the skill players arent depressed?",en,0,0,1,"@proteautype i have been diagnosed with ""depression"" as have many people in the world.  whos to say the skill players arent depressed?"
"many thanks for all the messages of support tweeps- i have been diagnosed with depression, but all is looking good 4 full recovery :-)",en,0,0,1,"many thanks for all the messages of support tweeps- i have been diagnosed with depression, but all is looking good 4 full recovery :-)"
"i'm diagnosed with depression, panic anxiety, crazy compulsions and social phobia but apparantly i should ""suck it up"" and work nonetheless",en,0,0,1,"i'm diagnosed with depression, panic anxiety, crazy compulsions and social phobia but apparantly i should ""suck it up"" and work nonetheless"
yes i'm diagnosed with depression. but you make me smile.,en,0,0,1,yes i'm diagnosed with depression. but you make me smile.
"@jotaylor_pw @loganm_btr @cutiejen_pw @carlosg_btr @kknight_btr hey guys, the doctors ran some tests...i'm diagnosed with depression and (c)",en,0,1,1,"@jotaylor_pw @loganm_btr @cutiejen_pw @carlosg_btr @kknight_btr hey guys, the doctors ran some tests...i'm diagnosed with depression and (c)"
hello twitter! i have not been on in a while. was kind of ashamed of admitting that i have been diagnosed with post natal depression.,en,0,0,1,hello twitter! i have not been on in a while. was kind of ashamed of admitting that i have been diagnosed with post natal depression.
@whoailovebtr (c) so now i'm diagnosed with major depression...,en,0,0,1,@whoailovebtr (c) so now i'm diagnosed with major depression...
@katieknight_pw well i'm diagnosed with major depression....http://t.co/rkgic6m,en,0,0,1,@katieknight_pw well i'm diagnosed with major depression....http://t.co/rkgic6m
"@cutiejen_pw *smiles* it is! still can't believe i'm diagnosed with major depression though...i only had 1 outburst today, so i'm doing good",en,0,0,1,"@cutiejen_pw *smiles* it is! still can't believe i'm diagnosed with major depression though...i only had 1 outburst today, so i'm doing good"
@alwyswatching_a shut up....didn't u know? i'm diagnosed with major depression! :|,en,0,0,1,@alwyswatching_a shut up....didn't u know? i'm diagnosed with major depression! :|
"@grocque_amazing *rolls eyes* wow. just......wow. anyways, i'm in the rehab center that kendall was in, i'm diagnosed with major depression",en,0,0,1,"@grocque_amazing *rolls eyes* wow. just......wow. anyways, i'm in the rehab center that kendall was in, i'm diagnosed with major depression"
@trinavega_ha i understand....i'm diagnosed with major depression.....,en,0,0,1,@trinavega_ha i understand....i'm diagnosed with major depression.....
@daphaknee i'm diagnosed with depression. i know that's not really insanity but hey whatever...,en,0,0,1,@daphaknee i'm diagnosed with depression. i know that's not really insanity but hey whatever...
"if @kknight_btr can come out of his shell, so can i....rushers, i'm diagnosed with major depression.",en,0,0,1,"if @kknight_btr can come out of his shell, so can i....rushers, i'm diagnosed with major depression."
everytime i look at my fantasy football team it makes me mad. i'm going to have to stop soon before i'm diagnosed with depression.,en,0,0,1,everytime i look at my fantasy football team it makes me mad. i'm going to have to stop soon before i'm diagnosed with depression.
@xloganforever it's not my fault i'm diagnosed with major depression and she's pushing me over the edge!,en,0,0,1,@xloganforever it's not my fault i'm diagnosed with major depression and she's pushing me over the edge!
"@sexyjdiamond trust me, ik....i'm diagnosed with major depression... i actually tried ending my life but logan stopped me, i realized (c)",en,0,0,1,"@sexyjdiamond trust me, ik....i'm diagnosed with major depression... i actually tried ending my life but logan stopped me, i realized (c)"
not like i'm diagnosed with depression or anything - let me just make that clear lmfao,en,0,0,1,not like i'm diagnosed with depression or anything - let me just make that clear lmfao
"@xxrusherworldxx i'm doing fine right now, but i'm diagnosed with major depression, so it can be tough.. thanks for caring! ;) xoxo, jd",en,0,0,1,"@xxrusherworldxx i'm doing fine right now, but i'm diagnosed with major depression, so it can be tough.. thanks for caring! ;) xoxo, jd"
"ok, so i have been diagnosed and treated for depression, anxiety, bipolar, and self… http://goo.gl/fb/xrzxx",en,0,0,1,"ok, so i have been diagnosed and treated for depression, anxiety, bipolar, and self… http://goo.gl/fb/xrzxx"
i have been diagnosed w/ teen depression :/ but i won't let that slow/stop me! #fighting,en,0,0,1,i have been diagnosed w/ teen depression :/ but i won't let that slow/stop me! #fighting
think i'm diagnosed with depression,en,0,0,1,think i'm diagnosed with depression
i think i'm bipolar ? help? - question & answer - question 79 ...: my dad has bipolar and i have been diagnosed ... http://t.co/zql1czom,en,0,0,1,i think i'm bipolar ? help? - question & answer - question 79 ...: my dad has bipolar and i have been diagnosed ... http://t.co/zql1czom
"new comment:  dave, i have been diagnosed with bipolar ii disorder with severe depression. much of your advice soun... http://bit.ly/clxhx1",en,0,0,1,"new comment:  dave, i have been diagnosed with bipolar ii disorder with severe depression. much of your advice soun... http://bit.ly/clxhx1"
@ctvcanadaam  i have been diagnosed with severe depression and my employer took my medical unless i went to rehab.  what can i do,en,0,0,1,@ctvcanadaam  i have been diagnosed with severe depression and my employer took my medical unless i went to rehab.  what can i do
@barkerballinger their problem for not being able to deal w reality. remember? i'm diagnosed with depression and am un-medicated.,en,0,0,1,@barkerballinger their problem for not being able to deal w reality. remember? i'm diagnosed with depression and am un-medicated.
it's #worldmentalhealthday so ill tell you all a little about myself. i have been diagnosed with depression and anxiety. i am suppose to be,en,0,0,1,it's #worldmentalhealthday so ill tell you all a little about myself. i have been diagnosed with depression and anxiety. i am suppose to be
i have been diagnosed with depression for 6 years and probably suffered with it for much longer.#worldmentalhealthday,en,0,0,1,i have been diagnosed with depression for 6 years and probably suffered with it for much longer.#worldmentalhealthday
"@chriscsefalvay i'm diagnosed with depression but not on anything at the mo. i'm not against medication, but the threshold seems very low.",en,0,0,1,"@chriscsefalvay i'm diagnosed with depression but not on anything at the mo. i'm not against medication, but the threshold seems very low."
@greatnfluence i'm diagnosed with atypical depression & my doc wants me to go see a therapist. i said hellllll no,en,0,0,1,@greatnfluence i'm diagnosed with atypical depression & my doc wants me to go see a therapist. i said hellllll no
"@samamicofso what seven would that be? i have been diagnosed with depression, but it doesnt really bug me... honestly",en,0,0,1,"@samamicofso what seven would that be? i have been diagnosed with depression, but it doesnt really bug me... honestly"
"rt @realniggatlkin: @unamorenabellaz i been hiding,i have been diagnosed with chronic depression since u got a man..:-p~lmao take prozac ;)",en,0,0,1,"rt @realniggatlkin: @unamorenabellaz i been hiding,i have been diagnosed with chronic depression since u got a man..:-p~lmao take prozac ;)"
well i have been diagnosed with depression...yay me :rolls eyes:,en,0,0,1,well i have been diagnosed with depression...yay me :rolls eyes:
"@mrsteepot i'm diagnosed with depression (without qualification), but started to think might be bipolar ii... not sure how to mention to doc",en,0,0,1,"@mrsteepot i'm diagnosed with depression (without qualification), but started to think might be bipolar ii... not sure how to mention to doc"
please pray for me......i have been diagnosed with depression.,en,0,0,1,please pray for me......i have been diagnosed with depression.
can someone cheer me up? - i'm diagnosed with depression. i will sometimes out of no where... http://t.co/a6ccb8xb,en,0,0,1,can someone cheer me up? - i'm diagnosed with depression. i will sometimes out of no where... http://t.co/a6ccb8xb
as most of you don't know. i have been diagnosed with depression. so that's why i'm sad.,en,0,0,1,as most of you don't know. i have been diagnosed with depression. so that's why i'm sad.
i have been diagnosed with severe recurring depression.? http://bit.ly/c8diet,en,0,0,1,i have been diagnosed with severe recurring depression.? http://bit.ly/c8diet
#somefactsaboutme i have been diagnosed with clinical depression.  (did i really just admit that?),en,0,0,1,#somefactsaboutme i have been diagnosed with clinical depression.  (did i really just admit that?)
@gabby_sizzle don't feel bad. i'm diagnosed with demoniac depression(bi polar),en,0,0,1,@gabby_sizzle don't feel bad. i'm diagnosed with demoniac depression(bi polar)
i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/bhvuze,en,0,0,1,i have been diagnosed with generalized anxiety disorder and clinical depression. ....? http://bit.ly/bhvuze
#rlfact: i'm diagnosed with depression.,en,0,0,1,#rlfact: i'm diagnosed with depression.
even though no tears are coming out... i seriously think i'm diagnosed with mild depression.,en,0,0,1,even though no tears are coming out... i seriously think i'm diagnosed with mild depression.
@micromanic i have been diagnosed with depression and i don't take anything.  i feed on beautiful things.,en,0,0,1,@micromanic i have been diagnosed with depression and i don't take anything.  i feed on beautiful things.
i feel like i'm diagnosed with depression everytime i watch the news. hate it.,en,1,0,1,i feel like i'm diagnosed with depression everytime i watch the news. hate it.
i have been diagnosed with depression and high levels of anger #wtf that don't make no sense,en,0,0,1,i have been diagnosed with depression and high levels of anger #wtf that don't make no sense
@themileycyrusrp what my depression? at least two months. i'm diagnosed with major depression,en,0,0,1,@themileycyrusrp what my depression? at least two months. i'm diagnosed with major depression
i have been diagnosed with severe depression and anxiety,en,0,0,1,i have been diagnosed with severe depression and anxiety
"just returned from the doctors. it will come as no surprise to some of you that i have been diagnosed with manic depression ""rapid cycling""",en,0,0,1,"just returned from the doctors. it will come as no surprise to some of you that i have been diagnosed with manic depression ""rapid cycling"""
personality disorder test bipolar | anxiety depression symptom …: i have been diagnosed with adhd and bipolar diso... http://bit.ly/aoyt8o,en,0,0,1,personality disorder test bipolar | anxiety depression symptom …: i have been diagnosed with adhd and bipolar diso... http://bit.ly/aoyt8o
@arecklessego no lol i'm not depressed... i'm diagnosed with depression i have the disease like i have anxiety attacks and shxt from it,en,0,0,1,@arecklessego no lol i'm not depressed... i'm diagnosed with depression i have the disease like i have anxiety attacks and shxt from it
open question: how to get rid of depression naturally?: i have been diagnosed with depression and it is getting ... http://t.co/mskxnsyz,en,0,0,1,open question: how to get rid of depression naturally?: i have been diagnosed with depression and it is getting ... http://t.co/mskxnsyz
open question: how to get rid of depression naturally?: i have been diagnosed with depression and it is getting ... http://t.co/3gokdlnh,en,0,0,1,open question: how to get rid of depression naturally?: i have been diagnosed with depression and it is getting ... http://t.co/3gokdlnh
open question: how to get rid of depression naturally?: i have been diagnosed with depression and it is getting... *http://t.co/sg5ocher,en,0,0,1,open question: how to get rid of depression naturally?: i have been diagnosed with depression and it is getting... *http://t.co/sg5ocher
@drdrew   your awesome #1. (great show & insight). i'm diagnosed bi-polar and on depakote and cymbalta (depression).,en,0,0,1,@drdrew   your awesome #1. (great show & insight). i'm diagnosed bi-polar and on depakote and cymbalta (depression).
""" i have been diagnosed with clynical depression and none of the anti depressents helped ,my brother was diagn http://t.co/yhjx41kc",en,0,0,1,""" i have been diagnosed with clynical depression and none of the anti depressents helped ,my brother was diagn http://t.co/yhjx41kc"
"hi, i'm lillian. i have cancer and i'm diagnosed with depression. i starve myself. i'm a whore, i cut and i'm a fuck up. nice to meet you (:",en,0,0,1,"hi, i'm lillian. i have cancer and i'm diagnosed with depression. i starve myself. i'm a whore, i cut and i'm a fuck up. nice to meet you (:"
@daviddstewart i have been diagnosed with situational depression due to a recent death and other pressures,en,0,0,1,@daviddstewart i have been diagnosed with situational depression due to a recent death and other pressures
@stancollymore i have suffered with depression 30yrs i have been diagnosed and now i hope to get the help. my problem has been invalidation,en,0,0,1,@stancollymore i have suffered with depression 30yrs i have been diagnosed and now i hope to get the help. my problem has been invalidation
@kyleighhill i have been diagnosed with clinical depression.,en,0,0,1,@kyleighhill i have been diagnosed with clinical depression.
"@frankfine 
i have severe depression and verious other medical problems. i have been diagnosed with dementia.  any advice?",en,1,0,1,"@frankfine 
i have severe depression and verious other medical problems. i have been diagnosed with dementia.  any advice?"
and people wonder why i'm diagnosed with clinical depression -_-,en,0,0,1,and people wonder why i'm diagnosed with clinical depression -_-
i think i'm diagnosed with depression.,en,0,0,1,i think i'm diagnosed with depression.
"#20factsaboutme 16. i'm diagnosed with depression, bipolar disorder, anxiety, and borderline personality disorder.",en,0,0,1,"#20factsaboutme 16. i'm diagnosed with depression, bipolar disorder, anxiety, and borderline personality disorder."
4.) i'm diagnosed with depression and anxiety.  #20factsaboutme,en,0,0,1,4.) i'm diagnosed with depression and anxiety.  #20factsaboutme
"ways to handle depression?: i have been diagnosed with depression by several doctors and psychologists. 
i am al... http://t.co/ecc7uj7q",en,0,0,1,"ways to handle depression?: i have been diagnosed with depression by several doctors and psychologists. 
i am al... http://t.co/ecc7uj7q"
"lisa's solution to the fact i have been diagnosed with depression: ""just man up""",en,0,0,1,"lisa's solution to the fact i have been diagnosed with depression: ""just man up"""
"http://t.co/nwd6tlpy constant depression: i am not sure what to do but i'm diagnosed with borderlines, as result ... http://t.co/lllzvgg9",en,0,0,1,"http://t.co/nwd6tlpy constant depression: i am not sure what to do but i'm diagnosed with borderlines, as result ... http://t.co/lllzvgg9"
personality disorder- glad i have been diagnosed. i knew it weren't depression. wooo of the pills i come,en,0,0,1,personality disorder- glad i have been diagnosed. i knew it weren't depression. wooo of the pills i come
i have been diagnosed with depression. #ohjoy &lt;--- oh the irony. #lmao,en,0,0,1,i have been diagnosed with depression. #ohjoy &lt;--- oh the irony. #lmao
"apr 4, depression is a sane response to our world..?: i have been diagnosed as chronically depressed for most of.. http://tinyurl.com/cgo9aa",en,0,0,1,"apr 4, depression is a sane response to our world..?: i have been diagnosed as chronically depressed for most of.. http://tinyurl.com/cgo9aa"
@sweetcarlosg_rp miss who? (you gotta give it time. i'm diagnosed with depression so i've been depressed for years.),en,0,0,1,@sweetcarlosg_rp miss who? (you gotta give it time. i'm diagnosed with depression so i've been depressed for years.)
@emperornorton  i have been diagnosed as major depression until 4 years ago.luckily i got a bp therapist who recognized it right away.,en,0,0,1,@emperornorton  i have been diagnosed as major depression until 4 years ago.luckily i got a bp therapist who recognized it right away.
@uhh_nosir i'm diagnosed whid clinical depression an leukemia,en,0,0,1,@uhh_nosir i'm diagnosed whid clinical depression an leukemia
"saying “i am more!” is saying:  i have been diagnosed with depression, but i have not been condemned to be... http://fb.me/xxtsvbcd",en,0,0,1,"saying “i am more!” is saying:  i have been diagnosed with depression, but i have not been condemned to be... http://fb.me/xxtsvbcd"
"i have been diagnosed with severe depression. if that bothers you, please leave.",en,0,0,1,"i have been diagnosed with severe depression. if that bothers you, please leave."
yeah well....... i have been diagnosed with deep depression. and i can tell that this is one thing the doctors are right about.,en,0,0,1,yeah well....... i have been diagnosed with deep depression. and i can tell that this is one thing the doctors are right about.
"saying “i am more!” is saying:   i have been diagnosed with depression, but i have not been condemned to be... http://fb.me/djwxasr7",en,0,0,1,"saying “i am more!” is saying:   i have been diagnosed with depression, but i have not been condemned to be... http://fb.me/djwxasr7"
i'm diagnosed with depression...,en,0,0,1,i'm diagnosed with depression...
@rubywax. hiya ruby!!! do u have a book out or autobiography?? i have been diagnosed with clinical depression and ... http://t.co/iotntua6,en,0,0,1,@rubywax. hiya ruby!!! do u have a book out or autobiography?? i have been diagnosed with clinical depression and ... http://t.co/iotntua6
"@cpvoros 
um...i can't exactly help it i'm diagnosed with depression. i take anti depressants. and i'm not a positive person.",en,0,0,1,"@cpvoros 
um...i can't exactly help it i'm diagnosed with depression. i take anti depressants. and i'm not a positive person."
@vioiate well it makes sense since major depression is what i'm diagnosed with. and you can always give me a big hug. i love hugging,en,0,0,1,@vioiate well it makes sense since major depression is what i'm diagnosed with. and you can always give me a big hug. i love hugging
chicken or the ocd egg? - the depression forums - a depression ...: i have been diagnosed with 1)depressive/ moo... http://t.co/5odf2wt9,en,0,0,1,chicken or the ocd egg? - the depression forums - a depression ...: i have been diagnosed with 1)depressive/ moo... http://t.co/5odf2wt9
i'm diagnosed with depression and am 17 ! this makes me even more depressed and just bleh,en,0,0,1,i'm diagnosed with depression and am 17 ! this makes me even more depressed and just bleh
"haha, if anyone's wondering, i /have/ been diagnosed with depression & add, plus diabetes. lol. life's just weird :p . time to do nothinglol",en,0,0,1,"haha, if anyone's wondering, i /have/ been diagnosed with depression & add, plus diabetes. lol. life's just weird :p . time to do nothinglol"
"i've been bullied for 6 years, i have been diagnosed with depression and anxiety because of this. i turned to self harm to cope.",en,0,1,1,"i've been bullied for 6 years, i have been diagnosed with depression and anxiety because of this. i turned to self harm to cope."
"@katyperry i'm diagnosed with bipolar, bpd, depression, and ptsd. and my solution to overcoming them is listening and singing your music!",en,0,0,1,"@katyperry i'm diagnosed with bipolar, bpd, depression, and ptsd. and my solution to overcoming them is listening and singing your music!"
"okayyy, got a call from my gp, and i have been diagnosed with clinical depression! :/",en,0,0,1,"okayyy, got a call from my gp, and i have been diagnosed with clinical depression! :/"
"i think about death and suicide frequently. i know this is a sign of depression, which i have been diagnosed? http://bit.ly/blf9rw",en,0,0,1,"i think about death and suicide frequently. i know this is a sign of depression, which i have been diagnosed? http://bit.ly/blf9rw"
"i think about death and suicide frequently. i know this is a sign of depression, which i have been diagnosed? http://bit.ly/blf9rw",en,0,0,1,"i think about death and suicide frequently. i know this is a sign of depression, which i have been diagnosed? http://bit.ly/blf9rw"
@flintoff11 i have been diagnosed wiv depression and your programme has helped me understand wot sportsman go through rt please #great work,en,0,0,1,@flintoff11 i have been diagnosed wiv depression and your programme has helped me understand wot sportsman go through rt please #great work
i have been diagnosed with ptsd &amp; pas :/ medication will soon take over my body along with depression...,en,0,0,1,i have been diagnosed with ptsd &amp; pas :/ medication will soon take over my body along with depression...
"@okkupykauai @notalone365 @therealnicebrit because of the situation i have been diagnosed with ptsd, depression,anxiety. isolation?big time!",en,0,0,1,"@okkupykauai @notalone365 @therealnicebrit because of the situation i have been diagnosed with ptsd, depression,anxiety. isolation?big time!"
"@mom2fishboy yes, i have been diagnosed w/ depression along with the aspergers.",en,0,0,1,"@mom2fishboy yes, i have been diagnosed w/ depression along with the aspergers."
"#30thingsaboutme 11; i have been diagnosed with depression and anxiety.
12; my brother is autistic and i'm the only person he talks to.",en,0,0,1,"#30thingsaboutme 11; i have been diagnosed with depression and anxiety.
12; my brother is autistic and i'm the only person he talks to."
#30thingsaboutme 6. i'm diagnosed with anxiety and clinical depression.,en,0,0,1,#30thingsaboutme 6. i'm diagnosed with anxiety and clinical depression.
"#30thingsaboutme i'm diagnosed with depression, anxiety and i'm in recovery from both anorexia and bulimia. i will never lie about it again",en,0,1,1,"#30thingsaboutme i'm diagnosed with depression, anxiety and i'm in recovery from both anorexia and bulimia. i will never lie about it again"
#30thingsaboutme 22. i have been diagnosed with severe depression and don't give a fuck if you have problem with that,en,0,0,1,#30thingsaboutme 22. i have been diagnosed with severe depression and don't give a fuck if you have problem with that
"#30thingsaboutme
29) i have been diagnosed with severe depression",en,0,0,1,"#30thingsaboutme
29) i have been diagnosed with severe depression"
"#30thingsaboutme 5) i have been diagnosed with adult adhd, ocd, and bipolar depression. so im kinda fucked up in the head lol",en,0,0,1,"#30thingsaboutme 5) i have been diagnosed with adult adhd, ocd, and bipolar depression. so im kinda fucked up in the head lol"
yes there is something called ravens depression and i have been diagnosed,en,0,0,1,yes there is something called ravens depression and i have been diagnosed
but i have been diagnosed with depression and i've been re-diagnosed with obsessive personality disorder. so that's nice.,en,0,0,1,but i have been diagnosed with depression and i've been re-diagnosed with obsessive personality disorder. so that's nice.
i'm diagnosed with depression -____-,en,0,0,1,i'm diagnosed with depression -____-
@missdlloyd can i please have a rt or a follow. it would make me so happy. i have been diagnosed with depression and feel so down :(,en,0,0,1,@missdlloyd can i please have a rt or a follow. it would make me so happy. i have been diagnosed with depression and feel so down :(
@missdlloyd can i please have a rt or a follow. it would make me so happy. i have been diagnosed with depression and feel so down :( x,en,0,0,1,@missdlloyd can i please have a rt or a follow. it would make me so happy. i have been diagnosed with depression and feel so down :( x
my confession is that i'm diagnosed with that depression that deals with light. my mood changes if the sun isn't out. doesn't that suck. aha,en,0,0,1,my confession is that i'm diagnosed with that depression that deals with light. my mood changes if the sun isn't out. doesn't that suck. aha
"@jodiemarsh #jodieagainstbullying i have been diagnosed with depression and anxiety because of bullying, i've been bullied for 6 years x",en,0,0,1,"@jodiemarsh #jodieagainstbullying i have been diagnosed with depression and anxiety because of bullying, i've been bullied for 6 years x"
"yes. i don't need any pit. just prayers. i have been diagnosed with anxiety and depression. it's taking over my life. but i know, with (c)",en,0,0,1,"yes. i don't need any pit. just prayers. i have been diagnosed with anxiety and depression. it's taking over my life. but i know, with (c)"
"10. i have been diagnosed and prescribed for anxiety and depression. yup, mental problems. tis true..",en,0,0,1,"10. i have been diagnosed and prescribed for anxiety and depression. yup, mental problems. tis true.."
@prophetwriter i have been diagnosed with everything from clinical depression to adhd to ocd to hfa and asperger's.,en,0,0,1,@prophetwriter i have been diagnosed with everything from clinical depression to adhd to ocd to hfa and asperger's.
so apparently i'm diagnosed for depression. okay wut.,en,0,0,1,so apparently i'm diagnosed for depression. okay wut.
& for those who think i'm sad all the time . fuck you . it's because i'm diagnosed with depression & i refuse to pop pills to make it better,en,0,0,1,& for those who think i'm sad all the time . fuck you . it's because i'm diagnosed with depression & i refuse to pop pills to make it better
@joelllyquiiinn because it's true. depressed people aren't fun to be around. i have been diagnosed with depression :/,en,0,0,1,@joelllyquiiinn because it's true. depressed people aren't fun to be around. i have been diagnosed with depression :/
i'm diagnosed w/ a depression disorder ...,en,0,0,1,i'm diagnosed w/ a depression disorder ...
@randompinkness i only caught the depression one...i have been diagnosed for about 5 years...it sux :),en,0,0,1,@randompinkness i only caught the depression one...i have been diagnosed for about 5 years...it sux :)
"#10thingsaboutmyself i have been diagnosed with adhd, ocd, depression, and anxiety.",en,0,0,1,"#10thingsaboutmyself i have been diagnosed with adhd, ocd, depression, and anxiety."
#10thingsaboutmyself - 4. i have been diagnosed with depression,en,0,0,1,#10thingsaboutmyself - 4. i have been diagnosed with depression
help i can't go to school tomorrow i have been diagnosed with post concert depression help,en,2,0,1,help i can't go to school tomorrow i have been diagnosed with post concert depression help
depression/ocd/anxiety medication? - dunky asked: depression/ocd/anxiety medication? i have been diagnosed and treat... http://t.co/uxgmf354,en,0,0,1,depression/ocd/anxiety medication? - dunky asked: depression/ocd/anxiety medication? i have been diagnosed and treat... http://t.co/uxgmf354
depression/ocd/anxiety medication? - dunky asked: depression/ocd/anxiety medication? i have been diagnosed and treat... http://t.co/pumceqn5,en,0,0,1,depression/ocd/anxiety medication? - dunky asked: depression/ocd/anxiety medication? i have been diagnosed and treat... http://t.co/pumceqn5
and for those of you on twitter that follow me who do not know yet i have been diagnosed with depression and anxiety,en,0,0,1,and for those of you on twitter that follow me who do not know yet i have been diagnosed with depression and anxiety
@bell_letstalk i have been diagnosed with depression its been hard on my spouse and family i'm getting help starting to stabilize its ok,en,0,0,1,@bell_letstalk i have been diagnosed with depression its been hard on my spouse and family i'm getting help starting to stabilize its ok
#langley township @polygonhomes flooded my home.this is a contributing factor 2 the #depression #anxiety & #ptsd i have been diagnosed with.,en,0,0,1,#langley township @polygonhomes flooded my home.this is a contributing factor 2 the #depression #anxiety & #ptsd i have been diagnosed with.
so again i have been diagnosed with depression and anxiety again...i thought i was happy :/,en,0,0,1,so again i have been diagnosed with depression and anxiety again...i thought i was happy :/
i have been diagnosed w/ moderate depression. the only thing that will help is to play hockey.  watching & hearing about it doesn't help.,en,0,0,1,i have been diagnosed w/ moderate depression. the only thing that will help is to play hockey.  watching & hearing about it doesn't help.
"""depression or anxiety? misdiagnosed?"": depression exchange ...: i have been diagnosed with generalized anxiety di... http://bit.ly/9ltuge",en,0,0,1,"""depression or anxiety? misdiagnosed?"": depression exchange ...: i have been diagnosed with generalized anxiety di... http://bit.ly/9ltuge"
